ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Alter_Egos,Publisher,Alignment,Gender,Race,Height,Weight,Eye,Hair,Skin,Total_Power
2,One-Above-All,100,100,100,100,100,100,No,Marvel Comics,neutral,Other,Cosmic Entity,- // 0 cm,- lb // 0 kg,Yellow,Blond,,600
3,The Presence,100,100,100,100,100,100,No,DC Comics,neutral,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,600
1,Man of Miracles,100,100,100,100,100,100,No,Image Comics,neutral,Male,God / Eternal,- // 0 cm,- lb // 0 kg,Blue,Silver,,600
4,Angela,95,100,100,100,100,100,No,Image Comics,bad,Female,,- // 0 cm,- lb // 0 kg,,,,595
6,General Zod,100,100,100,100,100,95,Yes,DC Comics,bad,Male,Kryptonian,- // 0 cm,- lb // 0 kg,Black,Black,,595
5,Binary,95,100,100,100,100,100,Yes,Marvel Comics,good,Female,,5'11 // 180 cm,120 lb // 54 kg,Blue,Blond,,595
7,Monarch,95,100,100,100,100,95,No,DC Comics,good,Male,,6'4 // 193 cm,200 lb // 90 kg,Blue,White,,590
9,Granny Goodness,100,100,90,100,95,100,No,DC Comics,bad,Female,,5'10 // 178 cm,256 lb // 115 kg,Blue,White,,585
10,Steppenwolf,100,100,85,100,100,100,No,DC Comics,bad,Male,New God,6'0 // 183 cm,203 lb // 91 kg,Red,Black,White,585
11,Superboy-Prime,100,100,100,100,100,85,Yes,DC Comics,bad,Male,Kryptonian,5'11 // 180 cm,170 lb // 77 kg,Blue,Black,,585
13,Vegeta,95,100,95,95,100,100,No,Shueisha,bad,Male,Saiyan,5'6 // 168 cm,163 lb // 73 kg,,Black,,585
8,Beyonder,100,100,100,100,100,85,No,Marvel Comics,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,585
12,Superman,100,100,100,100,100,85,Yes,DC Comics,good,Male,Kryptonian,6'3 // 191 cm,225 lb // 101 kg,Blue,Black,,585
14,Lucifer Morningstar,100,100,85,100,100,95,Yes,DC Comics,neutral,Male,God / Eternal,5'10 // 178 cm,175 lb // 79 kg,Amber,Blond,,580
15,Big Barda,95,100,80,100,100,100,No,DC Comics,bad,Female,New God,6'2 // 188 cm,300 lb // 135 kg,Blue,Black,,575
16,Darkseid,95,100,85,100,100,95,Yes,DC Comics,bad,Male,New God,8'9 // 267 cm,1815 lb // 817 kg,Red,No Hair,Grey,575
17,Martian Manhunter,100,95,95,100,100,85,No,DC Comics,good,Male,Martian,6'7 // 201 cm,300 lb // 135 kg,Red,No Hair,Green,575
18,Power Girl,100,100,100,100,100,75,No,DC Comics,good,Female,Kryptonian,5'11 // 180 cm,180 lb // 81 kg,Blue,Blond,,575
19,Supergirl,100,100,100,100,100,75,Yes,DC Comics,good,Female,Kryptonian,5'5 // 165 cm,120 lb // 54 kg,Blue,Blond,,575
20,Wonder Woman,95,100,80,100,100,100,Yes,DC Comics,good,Female,Amazon,6'0 // 183 cm,165 lb // 74 kg,Blue,Black,,575
21,Amazo,85,100,85,100,100,100,No,DC Comics,bad,Male,Android,8'5 // 257 cm,385 lb // 173 kg,Red,,,570
22,Thor,85,100,85,100,100,100,Yes,Marvel Comics,good,Male,Asgardian,6'6 // 198 cm,640 lb // 288 kg,Blue,Blond,,570
24,Aztar,95,95,95,95,95,90,Yes,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,565
25,Ben 10,90,100,100,100,100,75,No,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,565
26,Captain Universe,95,95,95,95,100,85,No,Marvel Comics,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,565
27,Phoenix,100,100,85,100,100,80,Yes,Marvel Comics,good,Female,Mutant,5'6 // 168 cm,115 lb // 52 kg,Green,Red,,565
28,Spectre,95,100,100,100,100,70,Yes,DC Comics,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,White,No Hair,White,565
29,Stardust,95,85,100,100,100,85,No,Marvel Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,565
23,Ares,90,100,75,100,100,100,No,DC Comics,neutral,Male,God / Eternal,6'10 // 208 cm,359 lb // 162 kg,Red,Black,,565
30,Cyborg Superman,90,95,95,100,100,80,No,DC Comics,bad,Male,Cyborg,- // 0 cm,- lb // 0 kg,Blue,Black,,560
32,Trigon,95,100,85,100,100,80,No,DC Comics,bad,Male,God / Eternal,- // 0 cm,- lb // 0 kg,Yellow,Black,Red,560
31,Hyperion,95,100,100,95,90,80,No,Marvel Comics,good,Male,Eternal,6'0 // 183 cm,460 lb // 207 kg,Blue,Red,,560
34,Dormammu,95,95,85,100,100,80,Yes,Marvel Comics,bad,Male,,6'1 // 185 cm,- lb // 0 kg,Yellow,No Hair,,555
35,Faora,95,95,75,100,100,90,No,DC Comics,bad,Female,Kryptonian,- // 0 cm,- lb // 0 kg,,,,555
36,Shazam,95,100,90,95,100,75,Yes,DC Comics,good,Male,Human,6'4 // 193 cm,225 lb // 101 kg,Blue,Black,,555
33,Bizarro,75,95,100,100,100,85,No,DC Comics,neutral,Male,Bizarro,6'3 // 191 cm,345 lb // 155 kg,Black,Black,White,555
37,Black Adam,95,100,95,100,100,60,No,DC Comics,bad,Male,,6'3 // 191 cm,250 lb // 113 kg,Brown,Black,,550
38,Doomsday,90,100,70,100,100,90,No,DC Comics,bad,Male,Alien,8'0 // 244 cm,915 lb // 412 kg,Red,White,,550
39,Bomb Queen,90,90,80,95,100,90,No,Image Comics,bad,Female,,- // 0 cm,- lb // 0 kg,,,,545
40,Captain Atom,95,95,85,90,100,80,No,DC Comics,good,Male,Human / Radiation,6'4 // 193 cm,200 lb // 90 kg,Blue,Silver,Silver,545
41,Captain Marvel,95,90,75,95,100,90,Yes,Marvel Comics,good,Female,Human-Kree,5'11 // 180 cm,165 lb // 74 kg,Blue,Blond,,545
42,Goku,80,100,75,90,100,100,Yes,Shueisha,good,Male,Saiyan,5'9 // 175 cm,137 lb // 62 kg,,,,545
43,Hulk,95,100,65,100,100,85,Yes,Marvel Comics,good,Male,Human / Radiation,8'0 // 244 cm,1400 lb // 630 kg,Green,Green,Green,545
44,Abraxas,100,100,85,100,100,55,No,Marvel Comics,bad,Male,Cosmic Entity,- // 0 cm,- lb // 0 kg,Blue,Black,,540
45,Cheetah III,95,100,90,80,80,95,No,DC Comics,bad,Female,Human,5'9 // 175 cm,120 lb // 54 kg,Brown,Brown,,540
47,Magus,95,100,70,100,100,75,No,Marvel Comics,bad,Male,,6'0 // 183 cm,- lb // 0 kg,Black,,,540
48,Nova,100,85,75,100,100,80,No,Marvel Comics,good,Male,Human,6'1 // 185 cm,190 lb // 86 kg,Brown,Brown,,540
49,Odin,100,85,70,95,100,90,Yes,Marvel Comics,good,Male,God / Eternal,6'9 // 206 cm,650 lb // 293 kg,Blue,White,,540
46,Lobo,100,100,55,100,100,85,No,DC Comics,neutral,Male,Czarnian,7'6 // 229 cm,640 lb // 288 kg,Red,Black,Blue-White,540
50,Anti-Monitor,95,100,50,100,100,90,Yes,DC Comics,bad,Male,God / Eternal,200 // 6100 cm,- lb // 0 kg,Yellow,No Hair,,535
54,Mister Mxyzptlk,100,85,100,100,100,50,No,DC Comics,bad,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,535
56,Surtur,95,100,60,100,100,80,Yes,Marvel Comics,bad,Male,God / Eternal,1000 // 30480 cm,- lb // 0 kg,Yellow,Red,Red,535
51,Donna Troy,90,90,85,90,85,95,No,DC Comics,good,Female,Amazon,5'9 // 175 cm,140 lb // 63 kg,Blue,Black,,535
53,Kratos,80,95,65,95,100,100,No,Wildstorm,good,Male,Demi-God,6'6 // 198 cm,240 lb // 108 kg,,,,535
55,Sentry,90,100,100,100,100,45,Yes,Marvel Comics,good,Male,Human,6'2 // 188 cm,194 lb // 87 kg,Blue,Blond,,535
52,Galactus,100,100,85,100,100,50,Yes,Marvel Comics,neutral,Male,Cosmic Entity,28'9 // 876 cm,36400 lb // 16000 kg,Black,Black,,535
57,Atom,90,95,75,95,90,85,No,DC Comics,good,Male,,5'10 // 178 cm,150 lb // 68 kg,Blue,Red,,530
58,Gladiator,80,100,100,100,80,70,No,Marvel Comics,neutral,Male,Strontian,6'6 // 198 cm,595 lb // 268 kg,Blue,Blue,Purple,530
59,Living Tribunal,100,100,100,100,100,30,No,Marvel Comics,neutral,Male,Cosmic Entity,- // 0 cm,- lb // 0 kg,Blue,No Hair,Yellow,530
60,Fallen One II,95,85,85,100,100,60,No,Marvel Comics,bad,Male,,- // 0 cm,- lb // 0 kg,Black,Blue,,525
62,Match,90,95,85,85,100,70,No,DC Comics,bad,Male,,- // 0 cm,- lb // 0 kg,Black,Black,,525
61,Hawkwoman,90,85,85,90,85,90,No,DC Comics,good,Female,,5'9 // 175 cm,120 lb // 54 kg,Green,Red,,525
63,Peter Petrelli,70,60,100,100,100,95,No,NBC - Heroes,good,Male,,- // 0 cm,- lb // 0 kg,,,,525
64,Aquaman,95,85,80,80,100,80,Yes,DC Comics,good,Male,Atlantean,6'1 // 185 cm,325 lb // 146 kg,Blue,Blond,,520
65,Captain Mar-vell,85,85,85,85,95,85,No,Marvel Comics,good,Male,,6'2' // 188 cm,240 lb // 108 kg,Blue,Blond,,520
66,Naruto Uzumaki,75,90,75,80,100,100,No,Shueisha,good,Male,Human,5'10 // 178 cm,121 lb // 54 kg,Blue,Yellow,,520
68,Molecule Man,85,100,70,90,100,70,No,Marvel Comics,bad,Male,Human / Radiation,5'7 // 170 cm,140 lb // 63 kg,Blue,Brown,,515
71,Thanos,100,100,35,100,100,80,Yes,Marvel Comics,bad,Male,Eternal,6'7 // 201 cm,985 lb // 443 kg,Red,No Hair,Purple,515
72,Thanos (Infinity Gauntlet),100,100,35,100,100,80,Yes,Marvel Comics,bad,Male,Eternal,6'7 // 201 cm,985 lb // 443 kg,Red,No Hair,Purple,515
67,He-Man,90,100,75,90,75,85,No,Mattel,good,Male,Human,- // 0 cm,- lb // 0 kg,,,,515
69,Spawn,90,75,50,100,100,100,Yes,Image Comics,good,Male,Demon,6'11 // 211 cm,900 lb // 405 kg,Brown,Black,,515
70,Superboy,90,95,85,90,95,60,No,DC Comics,good,Male,,5'7 // 170 cm,150 lb // 68 kg,Blue,Black,,515
73,War Machine,85,80,65,100,100,85,Yes,Marvel Comics,good,Male,Human,6'1 // 185 cm,210 lb // 95 kg,Brown,Brown,,515
74,Cat,90,85,80,90,85,80,No,Marvel Comics,good,Female,,5'8 // 173 cm,135 lb // 61 kg,Blue,Blond,,510
75,Ghost Rider II,70,85,95,85,85,90,No,Marvel Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,510
